variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source
BHINDI__OKRA___Bhushan__nan,Walnut,Bhushan,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0704157,H0704157,194,"AICRP on Spices, Dr. Y.S.R. Horticultural University, Horticultural Research Station",csc
CAULIFLOWER__No_71__nan,Okra,GNO-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",GJ,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0303149,H0303149,193,"ASPEE College of Horticultural & Forestry, Navasari Agricultural University",csc
BOTTLE_GOURD__TNAU_Bottle_Gourd_Hybrid_CO_1__nan,Ash gourd,TNAU Ash gourd Hybrid Co 1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",TN,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0402016,H0402016,49,"Department of vegetable Science, College of Agriculture",csc
BENGAL_GRAM__GRAM_CH__GNG-16__nan,Mango ginger,GNMG-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",GJ,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0302083,A0302083,127,"Department of Horticulture, BACA, Anand Vegetable University",csc
MANGO__Arka_Neelachal_Kesari__nan,Pointed gourd,Arka Neelachal Kirti,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",OR,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H060217586,H060217586,167,Central Horticultural Experiment Station (ICAR-IIHR),csc
BRINJAL__Birsa_Chianki_Baigan-1__CB-1___nan,Brinjal,Birsa Chianki Baigan-2,2022,No,Standard variety,JH,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217539,H070217539,0,"Zonal Research Station Birsa Agricultural University, Ranchi",csc
MANGO__Arka_Neelachal_Kesari__nan,Spine gourd/ Teasel gourd,Arka Neelachal Gaurav,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",OR,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H060217586,H060217586,167,Central Horticultural Experiment Station,csc
BRINJAL__GNRB-1__nan,Brinjal,GNRB-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK, UK, HP, GJ",Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217536,H070217536,162,"Department of Vegetable Science, ASPEE College of Horticulture & Forestry Navasari Agricultural University",csc
PEARL_MILLET__BAJRA___Avika_Bajra_Chari__AVKS-19___nan,Pearl Millet,AVIKA BAJRA CHARI,2009,No,Standard variety,NOT,Unknown,Not specified in document,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0209294,A0209294,1,Not specified in document,csc
INDIAN_RAPESEED_AND___RB-50__nan,Indian mustard,RB-50,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","HR, HP, DL, RJ",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0403120,A0403120,187,"Directorate of Research, CCSHAU, Hisar",csc
PADDY__DHAN___CO_R_52__nan,Rice,CO(R) 50,2009,Yes,"Cold, Disease, Pest","TN, KA, AP",Unknown,130-135 days,Low,Cold|Disease|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021903,A01021903,16,Not specified in document,csc
PADDY__DHAN___DRH-775__nan,Rice,DRH-775,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","BR, CG, JH, MP, UP, UK, WB",Unknown,Medium early maturity,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021172,A01021172,188,Not specified in document,csc
PADDY__DHAN___PAC_837__A01022062,Rice Hybrid,PAC 835,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","ORI, GJ",Unknown,132 days (Medium maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021857,A01021857,192,Not specified in document,csc
PADDY__DHAN___PAC_837__nan,Rice Hybrid,PAC 837,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","AP, AS, BR, CG, GJ, JAM, KA, JH",Unknown,130 days (Medium maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021857,A01021857,192,Not specified in document,csc
WHEAT__GEHON___MACS_2971__nan,Wheat,MACS 2971,2009,No,Standard variety,"MH, KA, TN",Unknown,107 days (Medium Maturity),Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0104399,A0104399,4,Not specified in document,csc
MAIZE__MAKKA___DHM-117___A0207383,Maize,HM-11,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, UK, UP, BR, JH, CG, GJ, OR, AS, AP, MH, KA, TN",Unknown,110-160 days (Late maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207779,A0207779,191,Not specified in document,csc
MAIZE__MAKKA___DKC_7074__nan,Maize,DKC 7074R,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MH, KA, TN, PB, HR, UP, RJ, MP, GJ, AP, TG",Unknown,86 days (Early maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A020717810,A020717810,149,Monsanto Private,csc
MAIZE__MAKKA___Vivek_Sankul_Makka_35__VL_113___nan,Maize,Vivek Sankul Makka 35,2009,Yes,"Disease, Drought, Flood, Heat, Pest, Salt","UK, HP, JAM",Unknown,90-95 days (Early maturity),Low,Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207385,A0207385,14,"Vivekananda Parvatiya Krishi Anusandhan Sansthan, Almora",csc
MAIZE__MAKKA___Vivek_Sankul_Makka_37__VL_114___nan,Maize,Vivek Sankul Makka 37,2009,Yes,"Disease, Drought, Flood, Heat, Pest, Salt","MH, AP",Unknown,82-85 days (Extra Early Maturity),Low,Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207386,A0207386,13,Not specified in document,csc
MAIZE__MAKKA___PAC_740__nan,Maize,PAC 740,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, DL, WES, UK",Unknown,Full season maturity,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207388,A0207388,133,Advanta India Limited,csc
MAIZE__MAKKA___JKMH-502__nan,Maize,JKMH-502,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, DL, UP",Unknown,Late maturity,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207389,A0207389,80,JK Agri Genetics Limited,csc
Sorghum__fodder___CSH_24_MF__nan,Sorghum,CSH 24 MF,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","UK, UP, GJ, HR, PB, DL, AP",Unknown,105-110 days (Early maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A062918230,A062918230,187,Not specified in document,csc
PIGEON_PEA__RED_GRAM__TJT_501__nan,Pigeon pea,TJT 501,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MH, MP, GJ, CG, RJ",Unknown,152-183 days,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0312128,A0312128,179,"Bhabha Atomic Research Centre (BARC) & Zonal Agricultural Research Station (ZARS), Khargone, in collaboration with Jawaharlal Nehru",csc
BRINJAL__Shubhra__nan,Chickpea,Shubhra,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MP, CG, MH, GJ",Unknown,104-108 days,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0702314,H0702314,204,Not specified in document,csc
GREEN_GRAM__MOONG_BE__IPM_02-3__nan,Mungbean,IPM 02-3,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","DL, HR, HP, JAM, JK, PB, RJ",Unknown,70-72 days (Medium maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0305147,A0305147,202,"IIPR, Kanpur",csc
PADDY__DHAN___IPU-02-43__nan,Urdbean,IPU 02-43,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","AP, KA, TN, OR, AS",Unknown,58-87 days (Early maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021826,A01021826,169,"Indian Institute of Pulses Research, Kanpur",csc
GROUNDNUT__PEA_NUT_M__RGN-145__nan,Indian Mustard,RGN-145,2009,No,Standard variety,"JAM, JK, PB, HR, RJ, DL, UP",Unknown,121-141 days (Medium Maturity),Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402170,A0402170,2,Indian Council of Agricultural Research (ICAR),csc
INDIAN_RAPESEED_AND___YSH_0401__nan,Yellow Sarson,YSH 0401,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","UP, WB, BR, HR",Unknown,115-120 days (Maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0403121,A0403121,164,"Chaudhary Charan Singh Haryana Agricultural University (CCSHAU), Hisar, Haryana",csc
GOBHI_SARSON__Him_Sarson-1__nan,Gobhi Sarson,Him Sarson-1,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JAM, JK, HP, UK",Unknown,146-184 days (Maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0605009,A0605009,138,CSK Himachal Pradesh Krishi Vishvavidyalaya,csc
PADDY__DHAN___ANKIT__nan,Jute,ANKIT,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","OR, BR, AS, WB, UP",Unknown,160-170 days (Medium maturity),High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A01021646,A01021646,205,Central Rice Research Institute (CRRI) / ICAR-National Rice Research Institute (NRRI),csc
SUNNHEMP__PATUA___SUN-053__nan,Sunhemp,SUN-053,2009,No,Standard variety,"BR, UP, MP, MH, ORI, RJ",Unknown,120-150 days (Early maturity),Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0504005,A0504005,0,Not specified in document,csc
SUNFLOWER__SURYAMUKH__PAC_334__nan,Sunflower Hybrid,PAC 334,2009,No,Disease,"GJ, MH, TN, KA, AP, PY",Unknown,100-105 days (Medium maturity),Low,Disease,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0411078,A0411078,5,Advanta India Ltd,csc
PADDY__DHAN___NARENDRA_SANKAR_DHAN-2__A0102980,Rice,Narendra Usar Dhan 2008,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102114,A0102114,149,Uttar Pradesh,csc
PADDY__DHAN___Narendra_Dhan_3112-1_Prakhar__IET_19335___nan,Rice,Narendra Dhan 3112-1 Prakhar,2009,No,Standard variety,NOT,Unknown,Not specified in document,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102982,A0102982,0,Uttar Pradesh,csc
PUMPKIN__NARENDRA_AMRIT__A0102983,Rice,Narendra Lalmati,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0404008,H0404008,142,Uttar Pradesh,csc
PADDY__DHAN___TURANT_DHAN__A0102984,Rice,Rani Dhan,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",Unknown,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102045,A0102045,128,Orissa,csc
PADDY__DHAN___PUBM-8__nan,Rice,PUBM-8,2009,No,"Disease, Pest",KA,Unknown,Not specified in document,Low,Disease|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102986,A0102986,4,Karnataka,csc
BOTTLE_GOURD__Sharad__A0102987,Rice,SHARADA,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0402102,H0402102,211,Karnataka,csc
PADDY__DHAN___CSR_22__nan,Rice,CSR 22,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","ORI, TN, HR",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102988,A0102988,153,Karnataka,csc
PADDY__DHAN___KHP-10__nan,Rice,KHP-10,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KA,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102989,A0102989,69,Karnataka,csc
PADDY__DHAN___MGD_101__nan,Rice,MGD 101,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",Unknown,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102991,A0102991,117,Karnataka,csc
LETHYRUS__Ratan__nan,Wheat,Ratan,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","UP, BR, WB",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0315002,A0315002,204,Chhattisgarh,csc
MAIZE__MAKKA___EH-434042__DH1___nan,Maize,EH-434042,2009,No,"Disease, Pest",KA,Unknown,Not specified in document,Low,Disease|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0207390,A0207390,2,Karnataka,csc
SORGHUM__JOWAR_GREAT__DSV_6__nan,Sorghum,DSV 6,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0210276,A0210276,137,Karnataka,csc
FINGER_MILLET__RAGI___ML-365__nan,Ragi,ML-365,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","KA, TN",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0204114,A0204114,83,Karnataka,csc
PADDY__DHAN___PAIYUR-1__nan,Ragi,Paiyur,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",TN,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102392,A0102392,192,Tamil Nadu,csc
BENGAL_GRAM__GRAM_CH__BGD-103__nan,Chickpea,BGD-103,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KA,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0302189,A0302189,174,Karnataka,csc
BLACK_GRAM__URD_BEAN__Madhira_Minumu-207__nan,Black Gram,Madhira Minumu ��� 207,2009,Yes,"Disease, Flood, Pest",AP,Unknown,Not specified in document,Low,Disease|Flood|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0301105,A0301105,6,Andhra Pradesh,csc
GREEN_GRAM__MOONG_BE__KKM-3__nan,Green Gram,KKM-3,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KA,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0305148,A0305148,180,Karnataka,csc
CHILLIES__Surya__nan,Red Gram,Surya,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0703205,H0703205,211,Andhra Pradesh,csc
HORSE_GRAM__KULTHI_K__GPM-6__nan,Horse Gram,GPM-6,2009,Yes,"Cold, Disease, Pest",NO ,Unknown,Not specified in document,Low,Cold|Disease|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0306026,A0306026,14,Karnataka,csc
GROUNDNUT__PEA_NUT_M__Kadiri-9__nan,Ground Nut,Kadiri-9,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest","AP, CG, MP, OR, TN",Unknown,Not specified in document,Medium,Cold|Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402172,A0402172,34,Acharya N.G. Ranga Agricultural University (ANGRAU),csc
GROUNDNUT__PEA_NUT_M__VRI__Gn__7__nan,Ground Nut,VRI (Gn) 7,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest",TN,Unknown,Not specified in document,Medium,Cold|Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402173,A0402173,28,Tamil Nadu,csc
GROUNDNUT__PEA_NUT_M__Greeshma__nan,Ground Nut,Greeshma,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",AP,Unknown,Not specified in document,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402174,A0402174,49,Acharya N.G. Ranga Agricultural University (ANGRAU),csc
GROUNDNUT__PEA_NUT_M__Kadiri-7__nan,Ground Nut,Kadiri-7,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest","AP, TG",Unknown,Not specified in document,Medium,Cold|Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402175,A0402175,33,Andhra Pradesh,csc
GROUNDNUT__PEA_NUT_M__Kadiri-8__nan,Ground Nut,Kadiri-8,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest","AP, TG",Unknown,Not specified in document,Medium,Cold|Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0402176,A0402176,31,"ANGRAU, Kadiri",csc
SUNFLOWER__SURYAMUKH__KBSH-53__nan,Sunflower,KBSH-53,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KA,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0411079,A0411079,53,"University of Agricultural Sciences, Bangalore",csc
PADDY__DHAN___RAJENDRA_BHAGVATI__nan,Rice,Rajendra Bhagwati,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",BR,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102852,A0102852,69,Bihar,csc
PADDY__DHAN___CO_R_49__nan,Rice,CO(R) 49,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",TN,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102952,A0102952,171,Tamil Nadu Agricultural University,csc
BHINDI__OKRA___indranil__A0102577,Rice,Indrayani,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0704187,H0704187,186,Maharashtra,csc
BLACK_GRAM__URD_BEAN__Vallabh_Urd_-_1__nan,Black Gram,Vallabh Urd-1,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","PB, HR, UP",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0301119,A0301119,164,"Sardar Vallabhbhai Patel University of Agriculture & Technology (SBVPUAT), Meerut",csc
INDIAN_RAPESEED_AND___Chhattisgarh_Sarson__nan,Mustard,Chhattisgarh Sarson,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",CG,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0403130,A0403130,112,Chhattisgarh,csc
BLACK_GRAM__URD_BEAN__DU-1__nan,Black Gram,DU-1,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","GJ, KA, MP",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A030116562,A030116562,194,"UAS, Dharwad",csc
COWPEA__LOBIA_ASPARA__KM-5__nan,Cowpea,KM-5,2009,No,Standard variety,NOT,Unknown,Not specified in document,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0303092,A0303092,10,Karnataka,csc
INDIAN_BEAN__FIELD_B__HA-4__nan,Field Bean,HA 4,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KA,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0307028,A0307028,190,Karnataka,csc
SOYBEAN__BHAT___LSB-1__nan,Soyabean,LSb-3,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NOT,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0410022,A0410022,155,Andhra Pradesh,csc
CLUSTER_BEAN__Sarada__nan,Sesame,Sarada,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",Unknown,Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H1203006,H1203006,208,Andhra Pradesh,csc
SUGARCANE__NOBLE_CAN__SNK-004__nan,Sugar Cane,SNK 044,2009,No,Standard variety,NOT,Unknown,Not specified in document,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0701069,A0701069,0,Karnataka,csc
PADDY__DHAN___SAHYADRI__nan,Tobacco,Sahyadri,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","KA, MH, OR, UK",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102148,A0102148,206,Karnataka,csc
SORGHUM__JOWAR_GREAT__SPH-1567__nan,Sorghum,SPH-1567,2009,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MH, KA, AP",Unknown,Not specified in document,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0210191,A0210191,67,Maharashtra,csc
PADDY__DHAN___CR_DHAN-211__nan,Rice,CR Dhan 211,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","OR, BR, JH, MH, GJ, CG",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218313,A010218313,52,ICAR-National Rice Research Institute,csc
PADDY__DHAN___CR_DHAN-211__nan,Rice,CR Dhan 212,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","OR, BR, JH",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218313,A010218313,52,ICAR-National Rice Research Institute,csc
PADDY__DHAN___CR_DHAN-214__nan,Rice,CR Dhan 214,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","OR, BR",Unknown,Not Available,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218314,A010218314,34,"Rice Research Station (CRURRS), ICAR-National Rice Research Institute",csc
